Product Name,Product Price,Item Number,Model Number,Product Category,Product Description
"Staples Hanging File Folder, Legal Size, Standard Green, 25/Box (TR521252)",$16.49,901-521252,422,Hanging File Folders,"Comes in standard green color and is made of 12.5-point paper stock with 144# basis weight for durability, Legal-size folder for holding oversize documents without folding, 25 folders per box"
"Staples Hanging File Folder, 5-Tab, Letter Size, Standard Green, 50/Box (TR266262)",$27.99,901-266262,42150-US/266262,Hanging File Folders,"Comes in standard green and is made of 12.5-point paper stock with 144# basis weight for durability, Five assorted-position top tabs offer ample space for labeling to keep your files organized, File folder tabs are detachable; tear-resistant"
"Staples Reinforced Hanging File Folders, 5-Tab, Letter Size, Blue/Green/Red/Orange/Yellow, 25/Box (TR18654)",$19.99,901-813110STP,18654-US-CC,Hanging File Folders,"Colorful hanging file folders made of tear-resistant material in blue,  green,  red,  orange,  and yellow with durable coated hooks, Five top-position tabs allow you to customize your files, File folder tabs are detachable"
"Pendaflex SureHook Hanging File Folders, Legal Size, Standard Green, 20/Box (PFX 6153 1/5)",$23.99,901-615315,6153 1/5,Hanging File Folders,"Folders are made of green paper stock, Poly-reinforced top edge and bottom fold provide added durability, Five tab positions allow you to customize your files"
"Quill Brand®  100% Recycled Hanging File Folders; 1/5-Cut, Letter Size, Green, 25/Box (7Q5215)",$15.49,901-7Q5215,7Q5215,Hanging File Folders,"Standard dark green 11 pt. stock, 1/5-cut, Letter size"
"Quill Brand®  100% Recycled Hanging File Folders, 1/5-Cut, Legal Size, Green, 50/Box (745315)",$35.99,901-745315,745315,Hanging File Folders,"Standard green 11 pt. stock, 1/5-cut, Metal hanging rods have a tough coating that can't chip so folders glide smoothly on rails"
"Smead FasTab Hanging File Folders, 1/3 Cut, Letter Size, Multicolor, 18/Box (64053)",$22.79,901-64053QL,64053,Hanging File Folders,"Assorted colors in durable 11-point stock, Plastic tabs on either end of each file work with heavy-duty plastic rods for sturdiness, Accommodates letter sized papers and files"
"Pendaflex Reinforced Hanging File Folders, 1/5 Tab, Letter Size, Assorted Jeweltone Colors, 25/Box (PFX 4152 1/5 ASST2)",$30.99,901-415215AD2,42553,Hanging File Folders,"Durable paper stock hanging folders in assorted jewel-tone colors for general or color-coded filing, Poly-reinforced top edge and bottom fold provide added durability, Five tab positions allow you to customize your files"
"Quill Brand® 100% Recycled 3-Tab Hanging File Folders, Letter Size, Green, 25/Box (7Q5213)",$18.59,901-7Q5213,7Q5213,Hanging File Folders,"Standard green 11 pt. stock, 1/3-cut, Letter size"
"Pendaflex SureHook Reinforced Hanging File Folders, Extra Capacity, Letter Size, Standard Green, 20/Box (PFX 6152x2)",$21.59,901-784623,6152X2,Hanging File Folders,"Standard green paper stock folders hold up to wear and tear, Poly-reinforced top edge and bottom folds provide added durability, Accommodates letter-size papers and files"